gene,gene_score_add,pval_gs,chr,tss_pos,gene_score_prom,gene_score_enh,n.cpg.gene,n.cpg.sig.gene,n.cpg.in.eQTR,cpg_id,pos,tss_dist,pval,padj,meth.change
A1BG,298.308048249011,0.009,chr19,58864858,9.91025410158164,288.397794147429,35,3,14,2037371,58868293,-3435,0.00102271909934585,0.156565821011956,49.673876115937
A1BG-AS1,221.709468945443,0.049,chr19,58863335,108.319870558731,113.389598386712,28,1,7,2037328,58859113,-4222,0.0073290426686418,0.262922202414532,23.4398966230929
A2M-AS1,6.47664070018436,0.023,chr12,9065177,,6.47664070018436,3,1,3,1370467,9226959,161782,0.00933510585459824,0.282642940307798,12.1304746651018
A2ML1,93.2909589933471,0.034,chr12,8997599,16.6834416139473,76.6075173793998,17,1,0,1370281,9005453,7854,0.00590691612548219,0.247252167752172,41.6924706405081
A2MP1,75.6621644916833,0.017,chr12,9275817,0.874249145206442,74.7879153464768,10,1,9,1370459,9217703,58114,0.00347937348658383,0.214178852574933,48.991028437373
A3GALT2,1231.16409727602,0,chr1,33786699,5.78354310681688,1225.3805541692,83,8,59,59145,33772959,13740,3.59071622983403e-05,0.071080479133155,50.8379267300403
A4GALT,175.664832423137,0.411,chr22,43117307,12.8018678136253,162.862964609512,79,1,33,2173475,43166287,-48980,0.0030839428291603,0.207213476804134,50.1066825205686
A4GNT,80.2082296819577,0.05,chr3,137851232,,80.2082296819577,6,0,1,445600,137844794,6438,0.0130906675591085,0.310772036197023,41.3633118164375
AA06,77.1816469758341,0.155,chr17,31860779,0.143049676493487,77.0385972993406,79,2,0,1806539,31834076,26703,0.000445125292496341,0.126201473533874,50.9070005747049
AACS,0.0569446636200669,0.667,chr12,125065379,,0.0569446636200669,1,0,1,1450995,125465361,399982,0.668763383443151,0.900932391073663,3.71350034681309
AADAC,0.394279119409033,0.745,chr3,151531903,,0.394279119409033,2,0,0,453156,151524011,-7892,0.468909485972282,0.816234348695713,-2.13457121748075
AADACL2,9.42301101410723,0.327,chr3,151451714,,9.42301101410723,10,0,0,453103,151369019,-82695,0.0544376990001574,0.458079990147003,12.7446958527507
AADACL4,123.143988783896,0.012,chr1,12704565,-4.31062338836115,118.833365395534,18,2,0,27997,12694400,-10165,0.00103379678133031,0.156847019980193,55.2610989894185
AADACP1,10.3292042763027,0.161,chr3,151488243,,10.3292042763027,1,0,0,453146,151490615,2372,0.159814598617509,0.608829033717414,10.7098026431405
AADAT,27.043694187729,0.701,chr4,171011107,-19.5577540769272,7.48594011080176,14,0,1,574230,171011046,61,0.0578698154242148,0.465639743218804,-28.2931060273839
AAGAB,428.862981170982,0.005,chr15,67547536,409.81760246475,19.0453787062326,19,1,3,1629858,67547539,-3,0.00495949103102233,0.237068018863024,41.7998317021765
AAK1,202.911816566461,0.059,chr2,69870870,179.291749496001,23.6200670704594,19,0,1,246499,69870812,58,0.0251179095946234,0.37242093953168,35.3081932980713
AAMDC,1.68440662712394,0.748,chr11,77552183,,1.68440662712394,4,0,0,1322788,77557104,4921,0.346394834826778,0.750837648024384,-6.18976787823615
AANAT,37.9616908022683,0.663,chr17,76453351,7.9754996203427,29.9861911819256,13,1,11,1857949,74479765,-1973586,0.00496796114771079,0.237100779572104,27.5602828079804
AAR2,93.0945281222969,0.612,chr20,34824399,28.0479336828896,65.0465944394073,53,0,9,2065477,34850882,26483,0.0616663323053685,0.473657145625075,7.21282527486725
AARD,57.7990822302868,0.279,chr8,117950445,22.0997899736764,35.6992922566104,8,0,0,1010658,117954155,3710,0.017438279813612,0.337046468623619,27.7725809697204
AARS1,377.123934663782,0.008,chr16,70323412,377.123934663782,,4,0,0,1735615,70323155,257,0.026933709527968,0.379351752116063,30.9241115951342
AARS2,137.194940018045,0.092,chr6,44281084,125.560477005346,11.634463012699,9,0,1,743391,44293707,-12623,0.0344731799232882,0.405362627644703,-14.2304766204823
AARSD1,16.5455671690299,0.433,chr17,42964498,,16.5455671690299,14,0,10,1819252,41131958,1832540,0.0424761667037712,0.429305901489339,34.8934457821867
